=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(find_with_path_compression) | Type: PathExprSegNode           | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: find_with_path_compression | Type: IdentifierNode            | Symbol: Symbol{name='find_with_path_compression', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_b', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_b)  | Type: PathExprSegNode           | Symbol: Symbol{name='node_b', kind=PARAMETER, scopeLevel=1}
Node: node_b               | Type: IdentifierNode            | Symbol: Symbol{name='node_b', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root_a)  | Type: PathExprSegNode           | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root_a               | Type: IdentifierNode            | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root_b)  | Type: PathExprSegNode           | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root_b               | Type: IdentifierNode            | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: rank_a               | Type: IdentifierNode            | Symbol: Symbol{name='rank_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root_a)  | Type: PathExprSegNode           | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root_a               | Type: IdentifierNode            | Symbol: Symbol{name='root_a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: rank                 | Type: IdentifierNode            | Symbol: null
Node: rank_b               | Type: IdentifierNode            | Symbol: Symbol{name='rank_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(nodes)   | Type: PathExprSegNode           | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root_b)  | Type: PathExprSegNode           | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root_b               | Type: IdentifierNode            | Symbol: Symbol{name='root_b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: rank                 | Type: IdentifierNode            | Symbol: null
