=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(jacobi_symbol) | Type: FunctionNode              | Symbol: Symbol{name='jacobi_symbol', kind=FUNCTION, scopeLevel=0}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: jacobi_mod           | Type: IdentifierNode            | Symbol: Symbol{name='jacobi_mod', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='jacobi', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(jacobi)  | Type: PathExprSegNode           | Symbol: Symbol{name='jacobi', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: jacobi               | Type: IdentifierNode            | Symbol: Symbol{name='jacobi', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='jacobi', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(jacobi)  | Type: PathExprSegNode           | Symbol: Symbol{name='jacobi', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: jacobi               | Type: IdentifierNode            | Symbol: Symbol{name='jacobi', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='fermat', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(fermat)  | Type: PathExprSegNode           | Symbol: Symbol{name='fermat', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: fermat               | Type: IdentifierNode            | Symbol: Symbol{name='fermat', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='jacobi_mod', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(jacobi_mod) | Type: PathExprSegNode           | Symbol: Symbol{name='jacobi_mod', kind=LOCAL_VARIABLE, scopeLevel=2}
