=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: bytes                | Type: IdentifierNode            | Symbol: Symbol{name='bytes', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='total', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(total)   | Type: PathExprSegNode           | Symbol: Symbol{name='total', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: total                | Type: IdentifierNode            | Symbol: Symbol{name='total', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: permutation_count    | Type: IdentifierNode            | Symbol: Symbol{name='permutation_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='total', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(total)   | Type: PathExprSegNode           | Symbol: Symbol{name='total', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: total                | Type: IdentifierNode            | Symbol: Symbol{name='total', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(exit)    | Type: PathExprSegNode           | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: exit                 | Type: IdentifierNode            | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}

=== Symbol Debug Summary ===
Total nodes visited: 144
Nodes with symbols: 144
Nodes without symbols: 0

Node type distribution:
  PathExprSegNode: 46
  IdentifierNode: 61
  FunctionNode: 3
  PathExprNode: 34
Type checking completed successfully.
Constant evaluation completed successfully.
Ownership checking completed successfully.
