=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Node', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Node)    | Type: PathExprSegNode           | Symbol: Symbol{name='Node', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(value)      | Type: FieldValNode              | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(val)     | Type: PathExprSegNode           | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: val                  | Type: IdentifierNode            | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: FieldVal(next)       | Type: FieldValNode              | Symbol: Symbol{name='next', kind=FIELD, scopeLevel=0}
Node: next                 | Type: IdentifierNode            | Symbol: Symbol{name='next', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: size                 | Type: IdentifierNode            | Symbol: null
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(traverse_list) | Type: FunctionNode              | Symbol: Symbol{name='traverse_list', kind=FUNCTION, scopeLevel=0}
Node: traverse_list        | Type: IdentifierNode            | Symbol: Symbol{name='traverse_list', kind=FUNCTION, scopeLevel=0}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(NodePool) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: head                 | Type: IdentifierNode            | Symbol: Symbol{name='head', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='head', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(head)    | Type: PathExprSegNode           | Symbol: Symbol{name='head', kind=PARAMETER, scopeLevel=1}
Node: head                 | Type: IdentifierNode            | Symbol: Symbol{name='head', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: next                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(NodePool) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NodePool', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NodePool) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(new)     | Type: PathExprSegNode           | Symbol: null
Node: new                  | Type: IdentifierNode            | Symbol: null
Node: node1                | Type: IdentifierNode            | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
