=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(attempt) | Type: PathExprSegNode           | Symbol: Symbol{name='attempt', kind=PARAMETER, scopeLevel=1}
Node: attempt              | Type: IdentifierNode            | Symbol: Symbol{name='attempt', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='square', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(square)  | Type: PathExprSegNode           | Symbol: Symbol{name='square', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: square               | Type: IdentifierNode            | Symbol: Symbol{name='square', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='linear', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(linear)  | Type: PathExprSegNode           | Symbol: Symbol{name='linear', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: linear               | Type: IdentifierNode            | Symbol: Symbol{name='linear', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: final_hash           | Type: IdentifierNode            | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base_hash', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base_hash) | Type: PathExprSegNode           | Symbol: Symbol{name='base_hash', kind=PARAMETER, scopeLevel=1}
Node: base_hash            | Type: IdentifierNode            | Symbol: Symbol{name='base_hash', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='probe_offset', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(probe_offset) | Type: PathExprSegNode           | Symbol: Symbol{name='probe_offset', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: probe_offset         | Type: IdentifierNode            | Symbol: Symbol{name='probe_offset', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='table_size', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(table_size) | Type: PathExprSegNode           | Symbol: Symbol{name='table_size', kind=PARAMETER, scopeLevel=1}
Node: table_size           | Type: IdentifierNode            | Symbol: Symbol{name='table_size', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(final_hash) | Type: PathExprSegNode           | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: final_hash           | Type: IdentifierNode            | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(final_hash) | Type: PathExprSegNode           | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: final_hash           | Type: IdentifierNode            | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='table_size', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(table_size) | Type: PathExprSegNode           | Symbol: Symbol{name='table_size', kind=PARAMETER, scopeLevel=1}
Node: table_size           | Type: IdentifierNode            | Symbol: Symbol{name='table_size', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(final_hash) | Type: PathExprSegNode           | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: final_hash           | Type: IdentifierNode            | Symbol: Symbol{name='final_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Function(insert_with_collision_resolution) | Type: FunctionNode              | Symbol: Symbol{name='insert_with_collision_resolution', kind=FUNCTION, scopeLevel=0}
Node: insert_with_collision_resolution | Type: IdentifierNode            | Symbol: Symbol{name='insert_with_collision_resolution', kind=FUNCTION, scopeLevel=0}
Node: table                | Type: IdentifierNode            | Symbol: Symbol{name='table', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(HashTableEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: HashTableEntry       | Type: IdentifierNode            | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: base_hash            | Type: IdentifierNode            | Symbol: Symbol{name='base_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
