=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(primes)  | Type: PathExprSegNode           | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: primes               | Type: IdentifierNode            | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(primes)  | Type: PathExprSegNode           | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: primes               | Type: IdentifierNode            | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='is_prime', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(is_prime) | Type: PathExprSegNode           | Symbol: Symbol{name='is_prime', kind=LOCAL_VARIABLE, scopeLevel=2}
