=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(EllipticPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='EllipticPoint', kind=STRUCT, scopeLevel=0}
Node: EllipticPoint        | Type: IdentifierNode            | Symbol: Symbol{name='EllipticPoint', kind=STRUCT, scopeLevel=0}
Node: p2                   | Type: IdentifierNode            | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(EllipticPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='EllipticPoint', kind=STRUCT, scopeLevel=0}
Node: EllipticPoint        | Type: IdentifierNode            | Symbol: Symbol{name='EllipticPoint', kind=STRUCT, scopeLevel=0}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: prime                | Type: IdentifierNode            | Symbol: Symbol{name='prime', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(EllipticPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='EllipticPoint', kind=STRUCT, scopeLevel=0}
Node: EllipticPoint        | Type: IdentifierNode            | Symbol: Symbol{name='EllipticPoint', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p1)      | Type: PathExprSegNode           | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: is_infinity          | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p2)      | Type: PathExprSegNode           | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: p2                   | Type: IdentifierNode            | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p2)      | Type: PathExprSegNode           | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: p2                   | Type: IdentifierNode            | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: is_infinity          | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p1)      | Type: PathExprSegNode           | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p1)      | Type: PathExprSegNode           | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p2)      | Type: PathExprSegNode           | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: p2                   | Type: IdentifierNode            | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p1)      | Type: PathExprSegNode           | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: y                    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p2)      | Type: PathExprSegNode           | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: p2                   | Type: IdentifierNode            | Symbol: Symbol{name='p2', kind=PARAMETER, scopeLevel=1}
Node: y                    | Type: IdentifierNode            | Symbol: null
Node: numerator            | Type: IdentifierNode            | Symbol: Symbol{name='numerator', kind=LOCAL_VARIABLE, scopeLevel=4}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p1)      | Type: PathExprSegNode           | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(p1)      | Type: PathExprSegNode           | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: p1                   | Type: IdentifierNode            | Symbol: Symbol{name='p1', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='prime', kind=PARAMETER, scopeLevel=1}
