=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: visited_count        | Type: IdentifierNode            | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(visited_count) | Type: PathExprSegNode           | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: visited_count        | Type: IdentifierNode            | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current_node) | Type: PathExprSegNode           | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current_node         | Type: IdentifierNode            | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='target_node', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(target_node) | Type: PathExprSegNode           | Symbol: Symbol{name='target_node', kind=PARAMETER, scopeLevel=1}
Node: target_node          | Type: IdentifierNode            | Symbol: Symbol{name='target_node', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(visited_count) | Type: PathExprSegNode           | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: visited_count        | Type: IdentifierNode            | Symbol: Symbol{name='visited_count', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: neighbor_index       | Type: IdentifierNode            | Symbol: Symbol{name='neighbor_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='neighbor_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(neighbor_index) | Type: PathExprSegNode           | Symbol: Symbol{name='neighbor_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: neighbor_index       | Type: IdentifierNode            | Symbol: Symbol{name='neighbor_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='graph', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(graph)   | Type: PathExprSegNode           | Symbol: Symbol{name='graph', kind=PARAMETER, scopeLevel=1}
Node: graph                | Type: IdentifierNode            | Symbol: Symbol{name='graph', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current_node) | Type: PathExprSegNode           | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current_node         | Type: IdentifierNode            | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: null
Node: neighbor             | Type: IdentifierNode            | Symbol: Symbol{name='neighbor', kind=LOCAL_VARIABLE, scopeLevel=4}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='graph', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(graph)   | Type: PathExprSegNode           | Symbol: Symbol{name='graph', kind=PARAMETER, scopeLevel=1}
Node: graph                | Type: IdentifierNode            | Symbol: Symbol{name='graph', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current_node) | Type: PathExprSegNode           | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=3}
