=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: calculateHarmonicSeries | Type: IdentifierNode            | Symbol: Symbol{name='calculateHarmonicSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='harmonic_approx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(harmonic_approx) | Type: PathExprSegNode           | Symbol: Symbol{name='harmonic_approx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: harmonic_approx      | Type: IdentifierNode            | Symbol: Symbol{name='harmonic_approx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: geometric_result     | Type: IdentifierNode            | Symbol: Symbol{name='geometric_result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='calculateGeometricSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(calculateGeometricSeries) | Type: PathExprSegNode           | Symbol: Symbol{name='calculateGeometricSeries', kind=FUNCTION, scopeLevel=0}
Node: calculateGeometricSeries | Type: IdentifierNode            | Symbol: Symbol{name='calculateGeometricSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='geometric_result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(geometric_result) | Type: PathExprSegNode           | Symbol: Symbol{name='geometric_result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: geometric_result     | Type: IdentifierNode            | Symbol: Symbol{name='geometric_result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
