=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='build_complex_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(build_complex_tree) | Type: PathExprSegNode           | Symbol: Symbol{name='build_complex_tree', kind=FUNCTION, scopeLevel=0}
Node: build_complex_tree   | Type: IdentifierNode            | Symbol: Symbol{name='build_complex_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: sum                  | Type: IdentifierNode            | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sum_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(sum_tree) | Type: PathExprSegNode           | Symbol: Symbol{name='sum_tree', kind=FUNCTION, scopeLevel=0}
Node: sum_tree             | Type: IdentifierNode            | Symbol: Symbol{name='sum_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
