=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='MAX_INODES', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(MAX_INODES) | Type: PathExprSegNode           | Symbol: Symbol{name='MAX_INODES', kind=CONSTANT, scopeLevel=0}
Node: MAX_INODES           | Type: IdentifierNode            | Symbol: Symbol{name='MAX_INODES', kind=CONSTANT, scopeLevel=0}
Node: root_inode           | Type: IdentifierNode            | Symbol: Symbol{name='root_inode', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='allocate_inode', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(allocate_inode) | Type: PathExprSegNode           | Symbol: Symbol{name='allocate_inode', kind=FUNCTION, scopeLevel=0}
Node: allocate_inode       | Type: IdentifierNode            | Symbol: Symbol{name='allocate_inode', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(fs)      | Type: PathExprSegNode           | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: fs                   | Type: IdentifierNode            | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
Node: root_block           | Type: IdentifierNode            | Symbol: Symbol{name='root_block', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='allocate_block', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(allocate_block) | Type: PathExprSegNode           | Symbol: Symbol{name='allocate_block', kind=FUNCTION, scopeLevel=0}
Node: allocate_block       | Type: IdentifierNode            | Symbol: Symbol{name='allocate_block', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='fs', kind=PARAMETER, scopeLevel=1}
