=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: FieldVal(comparisons) | Type: FieldValNode              | Symbol: Symbol{name='comparisons', kind=FIELD, scopeLevel=0}
Node: comparisons          | Type: IdentifierNode            | Symbol: Symbol{name='comparisons', kind=FIELD, scopeLevel=0}
Node: FieldVal(swaps)      | Type: FieldValNode              | Symbol: Symbol{name='swaps', kind=FIELD, scopeLevel=0}
Node: swaps                | Type: IdentifierNode            | Symbol: Symbol{name='swaps', kind=FIELD, scopeLevel=0}
Node: FieldVal(memory_operations) | Type: FieldValNode              | Symbol: Symbol{name='memory_operations', kind=FIELD, scopeLevel=0}
Node: memory_operations    | Type: IdentifierNode            | Symbol: Symbol{name='memory_operations', kind=FIELD, scopeLevel=0}
Node: FieldVal(heap)       | Type: FieldValNode              | Symbol: Symbol{name='heap', kind=FIELD, scopeLevel=0}
Node: heap                 | Type: IdentifierNode            | Symbol: Symbol{name='heap', kind=FIELD, scopeLevel=0}
Node: FieldVal(heap_size)  | Type: FieldValNode              | Symbol: Symbol{name='heap_size', kind=FIELD, scopeLevel=0}
Node: heap_size            | Type: IdentifierNode            | Symbol: Symbol{name='heap_size', kind=FIELD, scopeLevel=0}
Node: FieldVal(buckets)    | Type: FieldValNode              | Symbol: Symbol{name='buckets', kind=FIELD, scopeLevel=0}
Node: buckets              | Type: IdentifierNode            | Symbol: Symbol{name='buckets', kind=FIELD, scopeLevel=0}
Node: FieldVal(bucket_sizes) | Type: FieldValNode              | Symbol: Symbol{name='bucket_sizes', kind=FIELD, scopeLevel=0}
Node: bucket_sizes         | Type: IdentifierNode            | Symbol: Symbol{name='bucket_sizes', kind=FIELD, scopeLevel=0}
Node: FieldVal(bucket_ranges) | Type: FieldValNode              | Symbol: Symbol{name='bucket_ranges', kind=FIELD, scopeLevel=0}
Node: bucket_ranges        | Type: IdentifierNode            | Symbol: Symbol{name='bucket_ranges', kind=FIELD, scopeLevel=0}
Node: FieldVal(bucket_data) | Type: FieldValNode              | Symbol: Symbol{name='bucket_data', kind=FIELD, scopeLevel=0}
Node: bucket_data          | Type: IdentifierNode            | Symbol: Symbol{name='bucket_data', kind=FIELD, scopeLevel=0}
Node: FieldVal(bucket_counts) | Type: FieldValNode              | Symbol: Symbol{name='bucket_counts', kind=FIELD, scopeLevel=0}
Node: bucket_counts        | Type: IdentifierNode            | Symbol: Symbol{name='bucket_counts', kind=FIELD, scopeLevel=0}
Node: FieldVal(num_buckets) | Type: FieldValNode              | Symbol: Symbol{name='num_buckets', kind=FIELD, scopeLevel=0}
Node: num_buckets          | Type: IdentifierNode            | Symbol: Symbol{name='num_buckets', kind=FIELD, scopeLevel=0}
Node: FieldVal(sort_times) | Type: FieldValNode              | Symbol: Symbol{name='sort_times', kind=FIELD, scopeLevel=0}
Node: sort_times           | Type: IdentifierNode            | Symbol: Symbol{name='sort_times', kind=FIELD, scopeLevel=0}
Node: FieldVal(algorithm_efficiency) | Type: FieldValNode              | Symbol: Symbol{name='algorithm_efficiency', kind=FIELD, scopeLevel=0}
Node: algorithm_efficiency | Type: IdentifierNode            | Symbol: Symbol{name='algorithm_efficiency', kind=FIELD, scopeLevel=0}
Node: Function(initialize_data) | Type: FunctionNode              | Symbol: Symbol{name='initialize_data', kind=FUNCTION, scopeLevel=1}
Node: initialize_data      | Type: IdentifierNode            | Symbol: Symbol{name='initialize_data', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: size                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(size)    | Type: PathExprSegNode           | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: data                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
